iteration,keygen_ms,enc_ms,dec_ms,kg_samples,enc_samples,dec_samples
1,0.00912499999958527,2.2025890000004438,0.18613900000036665,[],[],[]
2,0.0011890000005223555,0.08865100000002712,0.04039199999988341,[],[],[]
3,0.000766000000112399,0.050890999999865016,0.018806000000040513,[],[],[]
4,0.0008369999995920807,0.05384799999956158,0.01819900000009511,[],[],[]
5,0.0008900000002540764,0.13537799999994604,0.05287399999997433,[],[],[]
6,0.0010869999996430124,0.07848600000033912,0.13200899999992544,[],[],[]
7,0.001029999999445863,0.06064799999967363,0.01881000000048516,[],[],[]
8,0.001825999999709893,0.05784800000037649,0.01716599999963364,[],[],[]
9,0.004708000000391621,0.0642119999993156,0.01858399999946414,[],[],[]
10,0.0017470000002504094,0.06166699999994307,0.021811999999954423,[],[],[]
11,0.0017980000002353336,0.08586099999956787,0.02830900000026304,[],[],[]
12,0.0016809999997349223,0.04434500000024855,0.014653999999609368,[],[],[]
13,0.0017550000002302113,0.0505700000003344,0.0208809999994628,[],[],[]
14,0.002041000000644999,0.04339799999979732,0.018347999999605236,[],[],[]
15,0.0016379999997298,0.04528600000048755,0.017633999999816297,[],[],[]
16,0.0018079999999827123,0.041786000000684,0.015177000000221597,[],[],[]
17,0.0016709999999875436,0.04590800000005402,0.01679500000045664,[],[],[]
18,0.0015130000001590815,0.042365000000245345,0.021053999999821826,[],[],[]
19,0.003897000000506523,0.12627299999985553,0.055601999999453255,[],[],[]
20,0.003926999999748659,0.10665599999992992,0.04669300000023213,[],[],[]
21,0.0037069999998493586,0.09204899999986083,0.04583400000046822,[],[],[]
22,0.0035100000004604226,0.09262500000022555,0.045305000000553264,[],[],[]
23,0.003036000000065542,0.07296000000042113,0.043603000000075554,[],[],[]
24,0.0034370000003036694,0.09016200000041863,0.05785699999978533,[],[],[]
25,0.0037539999993896345,0.09160199999951146,0.060002000000167754,[],[],[]
26,0.0027050000007875497,0.07538800000020274,0.04427000000032422,[],[],[]
27,0.002660000000105356,0.07558100000005652,0.029338000000279862,[],[],[]
28,0.0016519999999218271,0.041164000000208034,0.017651000000114436,[],[],[]
29,0.002353999999286316,0.06782399999974587,0.02778400000079273,[],[],[]
30,0.003808999999819207,0.09195799999997689,0.04696999999941909,[],[],[]
31,0.003703999999743246,0.10187899999982619,0.04716699999971752,[],[],[]
32,0.0034679999998843414,0.10375800000019808,0.05751999999938562,[],[],[]
33,0.003952000000026601,0.10519399999975576,0.04499500000019907,[],[],[]
34,0.003618000000642496,0.1043020000006436,0.04462500000045111,[],[],[]
35,0.003469000000222877,0.10341599999992468,0.05833299999994779,[],[],[]
36,0.0028279999996811966,0.07285099999990052,0.03474300000016228,[],[],[]
37,0.0036020000006828923,0.09566600000016479,0.05574700000033772,[],[],[]
38,0.003545999999914784,0.09310800000002928,0.06390099999953236,[],[],[]
39,0.0025200000000040745,0.06986800000049698,0.0408289999995759,[],[],[]
40,0.010798999999678927,0.050885000000562286,0.025789000000258966,[],[],[]
41,0.0017530000004626345,0.042664999999942665,0.01662899999973888,[],[],[]
42,0.0016500000001542503,0.04583900000034191,0.01614900000004127,[],[],[]
43,0.0018019999997704872,0.05318099999931292,0.01636199999938981,[],[],[]
44,0.002981999999974505,0.08924999999999272,0.034394000000247615,[],[],[]
45,0.003673000000162574,0.09586900000067544,0.058616999999685504,[],[],[]
46,0.0028890000003229943,0.06784400000015012,0.03906800000004296,[],[],[]
47,0.0024549999998271232,0.060221000000638014,0.032766999999694235,[],[],[]
48,0.026616000000103668,0.10464299999966897,0.04785799999990559,[],[],[]
49,0.0037370000000009895,0.09327599999960512,0.05805899999995745,[],[],[]
50,0.0034220000006826012,0.09216199999991659,0.06125100000008388,[],[],[]